choco-2017,
FrequencyAllocationXCSP3-celar_150_13_15_5_0.800,1.18
FrequencyAllocationXCSP3-celar_150_13_15_5_0.800,1.17
FrequencyAllocationXCSP3-celar_150_13_15_5_0.800,1.14
FrequencyAllocationXCSP3-celar_150_13_15_5_0.80,1.17
FrequencyAllocationXCSP3-celar_150_13_15_5_0.80,1.11
FrequencyAllocationXCSP3-celar_250_25_15_5_0.820,1.26
FrequencyAllocationXCSP3-celar_250_25_15_5_0.820,1.32
FrequencyAllocationXCSP3-celar_250_25_15_5_0.82,1.40
FrequencyAllocationXCSP3-celar_250_25_15_5_0.82,1.30
FrequencyAllocationXCSP3-celar_250_25_15_5_0.82,1.32
FrequencyAllocationXCSP3-celar_500_30_20_5_0.870,1.78
FrequencyAllocationXCSP3-celar_500_30_20_5_0.870,1.74
FrequencyAllocationXCSP3-celar_500_30_20_5_0.870,1.74
FrequencyAllocationXCSP3-celar_500_30_20_5_0.870,1.76
FrequencyAllocationXCSP3-celar_50_7_10_5_0.80,0.79
FrequencyAllocationXCSP3-celar_50_7_10_5_0.80,0.80
FrequencyAllocationXCSP3-celar_50_7_10_5_0.80,0.83
FrequencyAllocationXCSP3-celar_50_7_10_5_0.80,0.82
FrequencyAllocationXCSP3-celar_50_7_10_5_0.80,0.79
FrequencyAllocationXCSP3-m1-celar_150_13_15_5_0.800,1803.38
FrequencyAllocationXCSP3-m1-celar_150_13_15_5_0.800,1801.74
FrequencyAllocationXCSP3-m1-celar_150_13_15_5_0.800,1801.90
FrequencyAllocationXCSP3-m1-celar_150_13_15_5_0.80,1721.76
FrequencyAllocationXCSP3-m1-celar_150_13_15_5_0.80,1802.83
FrequencyAllocationXCSP3-m1-celar_250_25_15_5_0.820,1802.86
FrequencyAllocationXCSP3-m1-celar_250_25_15_5_0.820,1807.29
FrequencyAllocationXCSP3-m1-celar_250_25_15_5_0.82,1804.43
FrequencyAllocationXCSP3-m1-celar_250_25_15_5_0.82,1807.07
FrequencyAllocationXCSP3-m1-celar_250_25_15_5_0.82,1232.63
FrequencyAllocationXCSP3-m1-celar_500_30_20_5_0.870,109.52
FrequencyAllocationXCSP3-m1-celar_500_30_20_5_0.870,111.81
FrequencyAllocationXCSP3-m1-celar_500_30_20_5_0.870,108.12
FrequencyAllocationXCSP3-m1-celar_500_30_20_5_0.870,102.07
FrequencyAllocationXCSP3-m1-celar_50_7_10_5_0.80,201.26
FrequencyAllocationXCSP3-m1-celar_50_7_10_5_0.80,67.61
FrequencyAllocationXCSP3-m1-celar_50_7_10_5_0.80,109.19
FrequencyAllocationXCSP3-m1-celar_50_7_10_5_0.80,322.93
FrequencyAllocationXCSP3-m1-celar_50_7_10_5_0.80,90.00
FrequencyAllocationXCSP3-m2-celar_150_13_15_5_0.800,1801.05
FrequencyAllocationXCSP3-m2-celar_150_13_15_5_0.800,1801.44
FrequencyAllocationXCSP3-m2-celar_150_13_15_5_0.800,1801.28
FrequencyAllocationXCSP3-m2-celar_150_13_15_5_0.80,1801.88
FrequencyAllocationXCSP3-m2-celar_150_13_15_5_0.80,1802.13
FrequencyAllocationXCSP3-m2-celar_250_25_15_5_0.820,1802.11
FrequencyAllocationXCSP3-m2-celar_250_25_15_5_0.820,1802.75
FrequencyAllocationXCSP3-m2-celar_250_25_15_5_0.82,1802.84
FrequencyAllocationXCSP3-m2-celar_250_25_15_5_0.82,1801.30
FrequencyAllocationXCSP3-m2-celar_250_25_15_5_0.82,1803.36
FrequencyAllocationXCSP3-m2-celar_500_30_20_5_0.870,1806.62
FrequencyAllocationXCSP3-m2-celar_500_30_20_5_0.870,1811.17
FrequencyAllocationXCSP3-m2-celar_500_30_20_5_0.870,1814.09
FrequencyAllocationXCSP3-m2-celar_500_30_20_5_0.870,1808.44
FrequencyAllocationXCSP3-m2-celar_50_7_10_5_0.80,1800.84
FrequencyAllocationXCSP3-m2-celar_50_7_10_5_0.80,1800.90
FrequencyAllocationXCSP3-m2-celar_50_7_10_5_0.80,1800.81
FrequencyAllocationXCSP3-m2-celar_50_7_10_5_0.80,1800.83
FrequencyAllocationXCSP3-m2-celar_50_7_10_5_0.80,1800.76
FrequencyAllocationXCSP3-m3-celar_150_13_15_5_0.800,62.98
FrequencyAllocationXCSP3-m3-celar_150_13_15_5_0.800,70.48
FrequencyAllocationXCSP3-m3-celar_150_13_15_5_0.800,2627.37
FrequencyAllocationXCSP3-m3-celar_150_13_15_5_0.80,25.93
FrequencyAllocationXCSP3-m3-celar_150_13_15_5_0.80,134.61
FrequencyAllocationXCSP3-m3-celar_250_25_15_5_0.820,46.55
FrequencyAllocationXCSP3-m3-celar_250_25_15_5_0.820,30.37
FrequencyAllocationXCSP3-m3-celar_250_25_15_5_0.82,59.46
FrequencyAllocationXCSP3-m3-celar_250_25_15_5_0.82,123.40
FrequencyAllocationXCSP3-m3-celar_250_25_15_5_0.82,38.83
FrequencyAllocationXCSP3-m3-celar_500_30_20_5_0.870,411.22
FrequencyAllocationXCSP3-m3-celar_500_30_20_5_0.870,654.13
FrequencyAllocationXCSP3-m3-celar_500_30_20_5_0.870,160.64
FrequencyAllocationXCSP3-m3-celar_500_30_20_5_0.870,1802.41
FrequencyAllocationXCSP3-m3-celar_50_7_10_5_0.80,3.97
FrequencyAllocationXCSP3-m3-celar_50_7_10_5_0.80,113.83
FrequencyAllocationXCSP3-m3-celar_50_7_10_5_0.80,4.19
FrequencyAllocationXCSP3-m3-celar_50_7_10_5_0.80,9.50
FrequencyAllocationXCSP3-m3-celar_50_7_10_5_0.80,1.93
